Artist_and_Track_Name,Lithuania_Streams,Position
Justin Timberlake - Filthy,9549,286
Linkin Park - In The End,9434,287
Eminem - Walk On Water (feat. Beyoncé),9404,288
Dean Martin - Silver Bells,9317,289
"Judy Garland - Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",9287,290
Demi Lovato - Tell Me You Love Me,9229,291
Major Lazer - Cold Water (feat. Justin Bieber & MØ),9068,292
Paul McCartney - Wonderful Christmastime - Remastered 2011 / Edited Version,8944,293
Ed Sheeran - Eraser,8660,294
Miley Cyrus - Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,8424,295
Kendrick Lamar - BLOOD.,8398,296
Lorde - Homemade Dynamite,8384,297
KREAM - Taped Up Heart (feat. Clara Mae),8318,298
Kendrick Lamar - FEAR.,8166,299
Linkin Park - Heavy (feat. Kiiara),8034,300
Ed Sheeran - Barcelona,8020,301
Bruno Mars - Finesse (Remix) [feat. Cardi B],7932,302
Dua Lipa - IDGAF,7773,303
Grey - I Miss You,7768,304
Nause - Dynamite (feat. Pretty Sister),7719,305
Burl Ives - Rudolph The Red-Nosed Reindeer,7554,306
Carpenters - Sleigh Ride,7404,307
José Feliciano - Feliz Navidad,7394,308
Eartha Kitt - Santa Baby,7279,309
Kodak Black - Codeine Dreaming (feat. Lil Wayne),7272,310
Sia - Cheap Thrills,7217,311
blackbear - do re mi,7181,312
Frank Sinatra - The First Noel - 1999 - Remaster,7166,313
Chuck Berry - Run Rudolph Run - Single Version,7153,314
Linkin Park - Numb,7141,315
Sam Smith - Have Yourself A Merry Little Christmas,7013,316
Taylor Swift - Gorgeous,6952,317
Liam Payne - For You (Fifty Shades Freed),6874,318
The Pogues - Fairytale of New York (feat. Kirsty MacColl),6862,319
Pápai Joci - Origo - Eurovision Version,6843,320
Ed Sheeran - Hearts Don't Break Around Here,6752,321
Ed Sheeran - Supermarket Flowers,6725,322
Matt Terry - Sucker for You,6504,323
Machine Gun Kelly - At My Best (feat. Hailee Steinfeld),6364,324
The xx - On Hold,6346,325
G-Eazy - Sober,6327,326
Tiësto - On My Way,6314,327
Kendrick Lamar - DUCKWORTH.,6297,328
Sabrina Carpenter - Why,6278,329
Lana Del Rey - Lust for Life (with The Weeknd),6277,330
Diplo - Get It Right (feat. MØ),6165,331
Nat King Cole - Joy To The World,6068,332
Sia - Snowman,6052,333
Drake - 4422,5924,334
Bing Crosby - Do You Hear What I Hear?,5915,335
Drake - Teenage Fever,5848,336
Drake - Free Smoke,5771,337
Noah Cyrus - Again,5586,338
Chris Brown - Questions,5574,339
Fall Out Boy - The Last Of The Real Ones,5545,340
The Chainsmokers - Setting Fires,5127,341
Kendrick Lamar - The Heart Part 4,5059,342
Kendrick Lamar - GOD.,5035,343
"Sam Smith - River - Recorded At RAK Studios, London",4984,344
Frank Sinatra - Mistletoe And Holly - 1999 - Remaster,4973,345
Radistai Dj's - Good Things,4878,346
Ed Sheeran - Bibia Be Ye Ye,4828,347
Migos - MotorSport,4782,348
Britney Spears - My Only Wish (This Year),4737,349
Daya - New,4679,350
Ed Sheeran - Nancy Mulligan,4600,351
Ed Sheeran - Save Myself,4575,352
Drake - Gyalchester,4539,353
Lorde - Homemade Dynamite - REMIX,4474,354
Isaiah - Don't Come Easy,4421,355
Drake - Jorja Interlude,4353,356
Taylor Swift - End Game,4341,357
The xx - Say Something Loving,4307,358
"Thurl Ravenscroft - You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",4283,359
Bing Crosby - The Little Drummer Boy,4249,360
Ilinca - Yodel it!,4243,361
James Arthur - Can I Be Him,4195,362
Anitta - Downtown,4175,363
"George Ezra - White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",4163,364
Katy Perry - Bon appétit,4154,365
"Dean Martin - Baby, It's Cold Outside",3746,366
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",3542,367
Eminem - Believe,3528,368
Leona Lewis - One More Sleep,3299,369
Fusedmarc - Rain Of Revolution,3272,370
Drake - No Long Talk,3252,371
Bebe Rexha - The Way I Are (Dance With Somebody) [feat. Lil Wayne],3185,372
Chance The Rapper - All Night (feat. Knox Fortune),3147,373
Charlie Puth - How Long (feat. French Montana) - Remix,3135,374
Sam Smith - Burning,3007,375
Bing Crosby - Mele Kalikimaka - Single Version,2878,376
Andy Williams - Sleigh Ride,2833,377
Imagine Dragons - Walking The Wire,2807,378
Demi Lovato - I'll Be Home For Christmas - Recorded at Spotify Studios NYC,2780,379
Carpenters - Silent Night,2763,380
The xx - Lips,2760,381
Gene Autry - Here Comes Santa Claus (Right Down Santa Claus Lane),2756,382
The xx - Dangerous,2755,383
Kay Starr - The Man With The Bag,2710,384
Michael Jackson - Billie Jean,2705,385
The Beach Boys - Little Saint Nick,2595,386
Eminem - Untouchable,2570,387
"Fifth Harmony - Can You See - Spotify Singles - Holiday, Recorded at Spotify Studios NYC",2567,388
Nat King Cole Trio - All I Want For Christmas (Is My Two Front Teeth) - 1990 - Remaster,2529,389
Kelly Clarkson - Christmas Eve - Recorded at Spotify Studios NYC,2409,390
Kylie Minogue - Santa Baby,2384,391
BTS - Best Of Me,2381,392
Ed Sheeran - Perfect Symphony (Ed Sheeran & Andrea Bocelli),2369,393
Nathan Trent - Running On Air,2361,394
Dihaj - Skeletons,2332,395
Michael Bublé - Jingle Bells (feat. The Puppini Sisters),2300,396
Lana Del Rey - Summer Bummer (feat. A$AP Rocky & Playboi Carti),2295,397
Galantis - Hunter,2245,398
Anne-Marie - Then,2242,399
XXXTENTACION - Fuck Love (feat. Trippie Redd),2188,400
DJ Khaled - To the Max,2186,401
Drake - Madiba Riddim,2182,402
blackbear - do re mi (feat. Gucci Mane),2179,403
DMX - Rudolph the Rednose Reindeer,2151,404
Harry Styles - Sweet Creature,2151,405
Imagine Dragons - I Don’t Know Why,2147,406
Martin Solveig - Places,2090,407
Ed Sheeran - Photograph,2089,408
Kelly Clarkson - Underneath the Tree,2075,409
Halsey - Strangers,2069,410
Elton John - Step Into Christmas,2049,411
Macklemore - Marmalade (feat. Lil Yachty),2037,412
Don Omar - Danza Kuduro,2006,413
Axwell /\ Ingrosso - Dreamer,2000,414
Lana Del Rey - 13 Beaches,1921,415
Camila Cabello - Never Be the Same - Radio Edit,1857,416
Coldplay - Miracles (Someone Special),1837,417
Starley - Call on Me - Ryan Riback Remix,1704,418
Linkin Park - What I've Done,1692,419
Louis Tomlinson - Miss You,1631,420
David Guetta - Sexy Bitch (feat. Akon) - feat. Akon,1619,421
Macklemore & Ryan Lewis - Can't Hold Us - feat. Ray Dalton,1601,422
The xx - I Dare You,1580,423
Charli XCX - Out Of My Head (feat. Tove Lo and ALMA),1578,424
Harry Styles - Carolina,1530,425
Carpenters - Merry Christmas Darling - Album Version/Remix,1502,426
Linkin Park - Good Goodbye (feat. Pusha T and Stormzy),1485,427
Linkin Park - Battle Symphony,1472,428
Marvin Gaye - Ain't No Mountain High Enough,1467,429
JAY Z - Numb / Encore,1465,430
ABBA - Happy New Year,1455,431
Coldplay - Hypnotised,1453,432
The Chainsmokers - Honest,1453,433
"Perry Como - Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night",1442,434
Calvin Harris - Cash Out,1435,435
