Artist_and_Track_Name,Germany_Streams,Position
A$AP Ferg - Plain Jane,1521309,559
Marteria - Scotty beam mich hoch,1514874,560
Kendrick Lamar - LOVE. FEAT. ZACARI.,1510524,561
Eagles - Please Come Home For Christmas - Bonus Track,1507529,562
Sia - Santa's Coming For Us,1481594,563
LEA - Leiser,1479899,564
Bushido - Oma Lise,1471450,565
Majoe - Sidechick,1468889,566
Capital Bra - Das Leben ist so,1463641,567
Luciano - Die Straße ein Teil,1452412,568
Kendrick Lamar - ELEMENT.,1451649,569
Lorenz Büffel - Johnny Däpp,1447322,570
Whethan - Savage (feat. Flux Pavilion & MAX),1447061,571
OneRepublic - Let's Hurt Tonight,1446355,572
Sunstroke Project - Hey Mamma - Radio Edit,1443705,573
Frankie Goes To Hollywood - The Power of Love,1438701,574
Jonas Blue - Perfect Strangers,1438066,575
187 Strassenbande - Mit Absicht,1434777,576
Michael Patrick Kelly - iD,1419245,577
Drake - Too Good,1409402,578
Thirty Seconds To Mars - Walk On Water,1403344,579
Macklemore & Ryan Lewis - Can't Hold Us - feat. Ray Dalton,1402399,580
Kontra K - Erfolg ist kein Glück,1368482,581
San Holo - Light,1363788,582
Capital Bra - Wer hoch fliegt fällt tief,1363739,583
Lena - If I Wasn't Your Daughter - Acoustic Version,1361674,584
Ali As - Von den fernen Bergen (feat. SXTN),1361427,585
Kanye West - Stronger,1358319,586
"Sia - Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1357368,587
Capital Bra - Paff Paff weiter 2,1344217,588
Trettmann - Billie Holiday,1343578,589
Kraftklub - Dein Lied,1338739,590
Yvonne Catterfeld - Irgendwas (feat. Bengio),1324703,591
Bushido - CCNDNA,1322928,592
Natasha Bedingfield - Shake up Christmas 2011 (Official Coca-Cola Christmas Song),1311662,593
Wincent Weiss - Musik sein,1288657,594
Linkin Park - One More Light,1280090,595
Stargate - Waterfall,1273316,596
Kollegah - One Night Stand,1267445,597
Kylie Minogue - Santa Baby,1265309,598
Mike Perry - Inside the Lines,1262721,599
Hanybal - Fick dich,1259574,600
Avicii - What Would I Change It To (feat. AlunaGeorge),1250507,601
Jonas Blue - Fast Car,1248301,602
Bonez MC - Lebenslauf,1243410,603
Rod Stewart - Santa Claus Is Coming To Town,1228521,604
Zay Hilfigerrr - Juju On That Beat (TZ Anthem),1228355,605
Cro - todas,1227783,606
Galantis - No Money,1224777,607
RAF Camora - Entertainment,1220782,608
Bausa - FML,1214860,609
Julia Michaels - Uh Huh,1213601,610
Celo & Abdi - Kein Rückwärtsgang,1212745,611
Savas - Normale Leute,1207001,612
Elton John - Step Into Christmas,1205697,613
